url,appId,title,summary,developer,developerId,icon,score,scoreText,priceText,free
"https://play.google.com/store/apps/details?id=com.g.morsechat","com.g.morsechat","Morse chat by Light simple S/R","Morse Chat Simple easy text Communicate by Light Blinks second generation<br><br><br>* Point your device towards your friend, Send&amp;Receive text by light-based Morse code.<br><br>* Morse receiver - communicate by light (no need for WiFi or any other network)<br><br>* Translates Morse code to/from text<br><br>Please help me improve this app, by sharing your thoughts/ideas/impressions/bugs or misunderstandings you have found in this app.<br><br>Thank you","g",N/A,"https://play-lh.googleusercontent.com/X1mutE6nEtgtWd-1DI-H7xPeWWkDv4yiBGkk8GIJgye_Z8HY2V-m34zN_BB3vx4GzKB-",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.CreativeScribble","com.g.CreativeScribble","Draw ideas from base scribble","Creative scribble  - draw over doodle, <br><br>come with an original idea more than once.<br><br>train your mind to think &#39;out of the box&#39;<br><br>Instructions:<br><br>1. Draw (as simple as possible) a basic scribble.<br>Preferably,  a single stroked, meaningless &#39;something&#39;, which doesn&#39;t resembles anything.<br><br>2. confirm done.<br><br>3. Now, add as few as possible strokes and make it into something meaningful<br><br>4. confirm done( or confirm &#39;done plus&#39; : to express another idea over the same basic scribble)<br><br>5. go over to the gallery and respect your creative mind<br><br>* Better to play with friends (by solving the same original doodle/Scribble)","g",N/A,"https://play-lh.googleusercontent.com/3GCSyDTHkqYC1wWxV2TwMR3NNRQ3PFTXPLlMEu2GBzg8YmfeSniK6muisj_9lINoVPQ",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.LocationNote","com.g.LocationNote","Shoppinglist simple fast smart","Location Note -  Location based Reminder List<br><br>shopping list - by shop<br><br>Get notified when passing by near a &#39;notification note&#39; location<br><br>Great for any location-oriented reminders<br><br>Hand writing, simple, easy<br><br><br>Will open the relevant list for each location.<br><br>Easy list editing : write, undo , clear row/all<br><br>Any problems/bugs/suggestion? - write a review or email me.<br><br><br>*** for best experience - it is advised to apply extra permissions &amp; notification settings - see screenshots ***<br><br>Thank you","g",N/A,"https://play-lh.googleusercontent.com/apSLvXm820HDPdf8mgoaMoCQq2jZba7LFuM1aPor7jmoH7dnZx3D6s6iwNL5sFZukB4",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.LightComm","com.g.LightComm","Morse chat by camera light txt","<b>Morse camera light chat receive send text torch</b><br><br>Survival Torch strobe chat read write<br><br>Point your device towards your friend, Send&amp;Receive text by light-based Morse code.<br><br>The Ideal Light related Multi-tool:<br><br>* Morse transmitter.(also as an emergency beacon)<br><br>* Morse receiver - communicate by light (no need for WiFi or any other network)<br><br>* flash light<br><br>* Adjustable strobe light<br><br>* Use it as your default torch app.<br><br>* Translates Morse code to/from text","g",N/A,"https://play-lh.googleusercontent.com/zGCdnY80z01PvQuCERN9IpPDWkzpGEtoQ3Tp4PwX_3CqShO5GEQBZrmecsyIeYFIo3g",3.3333333,"3.3",N/A,true
"https://play.google.com/store/apps/details?id=com.g.SomeoneLikeMe","com.g.SomeoneLikeMe","Matching to Someone like me","Based on the known fact that most pairs have close physical features and interests.<br><br>This tool is there to help you find your &#39;half&#39; in a fair &amp; anonymous (NO PICTURES!) way.<br><br>Someone like me Matching by Attributes &amp; interests Symmetrical fair  NO PICTURE.","g",N/A,"https://play-lh.googleusercontent.com/Iszq4GE7PG6QQlrfs6sBl6LzxgaRihQf2WJs7edai_Af54ZxWo-uoIM8hzGe4eqU8I6-",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.multiptblchamp","com.g.multiptblchamp","multiplication table champ win","Multiplication table world champion Improve speed<br><br>Improve  your Multiplication table skill in a fun way","g",N/A,"https://play-lh.googleusercontent.com/lkwE6wAMex9ZR5cdlCQUDNXjhss69VPZCb6127oAQmrywauYWsZXrRBc-X2lHZDZG8k",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.PuzzleX","com.g.PuzzleX","Jigsaw puzzle selfie cam simpl","Play jigsaw puzzle from selfie, live capture and saved images.<br><br>control number of pieces.<br><br>choose pieces transparency.<br><br>Magic Auto solve.","g",N/A,"https://play-lh.googleusercontent.com/l29h2NZQA7gUdlf-bO5L9crHyteiFC4chj-nsax8RIeHK-DVjK2pqLYS820S9G5Rwss",4.6,"4.6",N/A,true
"https://play.google.com/store/apps/details?id=com.g.SinclairAcRemoteSimple","com.g.SinclairAcRemoteSimple","Sinclair Remote, NO SETTINGS !","Sinclair AC Remote<br>match remote model as seen in picture!<br>NO setting needed!<br><br>Use it as you&#39;d used the original remote(see picture) :<br><br>1. Point your device towards IR eye on the AC unit.<br>2. Within reasonable range.<br><br><br>* SHOULD WORK &#39;OUT-OF-THE-BOX&#39; (no settings or configurations needed)!<br><br>* If not working - app is not compatible with your AC unit(remote)!<br><br><br>Disclaimer:<br>This app is made by me, and is NOT affiliated with, or endorsed by Sinclair.","g",N/A,"https://play-lh.googleusercontent.com/OeWEpnUjtBiHQqUqcQfrxW63L2hYqgBlECzdkY7-5qTiSF-Jv5QzYWq0qfngt1fXyw",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.GreeAcRemoteSimple","com.g.GreeAcRemoteSimple","GREE TOSOT KINGHOME 0 settings","GREE  TOSOT KINGHOME AC Remote<br>match remote model as seen in picture!<br>NO setting needed!<br><br>Use it as you&#39;d used the original remote(see picture) :<br><br>1. Point your device towards IR eye on the AC unit.<br>2. Within reasonable range.<br><br><br>* SHOULD WORK &#39;OUT-OF-THE-BOX&#39; (no settings or configurations needed)!<br><br>* If not working - app is not compatible with your AC unit(remote)!<br><br><br>Disclaimer:<br>This app is made by me, and is NOT affiliated with, or endorsed by GREE, or  TOSOT, <br> or KINGHOME.","g",N/A,"https://play-lh.googleusercontent.com/zBoMDCRxTP0tUjDosr3xm89VOopEzvtLVETHjU-HA0u-nCycD_kqlwmIl-5O8xnOyLZd",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.GreeAcRemoteIrNoButtons","com.g.GreeAcRemoteIrNoButtons","GREE AC Remote 0-Button 0-SETT","GREE AC Remote, No Button, NO settings<br>SWIPE or TAP on screen<br>Basic functions<br><br><b>* Click HELP(question sign on left/top corner) for operation instructions</b><br><br>GREE AC Remote<br>match remote model as seen in picture!<br>NO setting needed!<br><br>Use it as you&#39;d used the original remote(see picture) :<br><br>1. Point your device towards IR eye on the AC unit.<br>2. Within reasonable range.<br><br>* SHOULD WORK &#39;OUT-OF-THE-BOX&#39; (no settings or configurations needed)!<br><br>* If not working - app is not compatible with your AC unit(remote)!<br><br><br>Disclaimer:<br>This app is made by me, and is NOT affiliated with, or endorsed by GREE.","g",N/A,"https://play-lh.googleusercontent.com/X8xdhA1g3MaX8JUHR2YXZwjMgzYkkhXaSF_qUKhzbr5OdJC_t0UlsAOyXrJ1erfxBPc",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.airwellacremotesimple","com.g.airwellacremotesimple","Remote Airwell AC, NO settings","Airwell AC Remote<br>match remote model as seen in picture!<br>NO setting needed!<br><br>Use it as you&#39;d used the original remote(see picture) :<br><br>1. Point your device towards IR eye on the AC unit.<br>2. Within reasonable range.<br><br>* SHOULD WORK &#39;OUT-OF-THE-BOX&#39; (no settings or configurations needed)!<br><br>* If not working - app is not compatible with your AC unit(remote)!<br><br>Disclaimer:<br>This app is made by me, and is NOT affiliated with, or endorsed by Airwell .","g",N/A,"https://play-lh.googleusercontent.com/Xlz7veLJbdRSq1wsbP_Kr41FQ1m5jGqyfT_201-7N873o4KCnCll_JZFehBX8J-Fi16T",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.aeronikacremotesimple","com.g.aeronikacremotesimple","Remote AERONIK  AC NO SETTINGS","AERONIK AC Remote<br>match remote model as seen in picture!<br>NO setting needed!<br><br>Use it as you&#39;d used the original remote(see picture) :<br><br>1. Point your device towards IR eye on the AC unit.<br>2. Within reasonable range.<br><br>* SHOULD WORK &#39;OUT-OF-THE-BOX&#39; (no settings or configurations needed)!<br><br>* If not working - app is not compatible with your AC unit(remote)!<br><br>Disclaimer:<br>This app is made by me, and is NOT affiliated with, or endorsed by AERONIK","g",N/A,"https://play-lh.googleusercontent.com/kjMV9dmiix_DRLcB2DfREmRD6qUfO79TzA6aI20UOiwRmkgU2t1YA4bHLzsQpjxz-lk",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.TadiranAcRemoteIrNoButtons","com.g.TadiranAcRemoteIrNoButtons","TADIRAN AC Remote no settings","TADIRAN AC Remote, No Button, NO settings<br>SWIPE or TAP on screen<br>Basic functions<br><br><b>* Click HELP(question sign on left/top corner) for operation instructions<br><br>TADIRAN AC Remote<br>match remote model as seen in picture!<br>NO setting needed!<br><br>Use it as you&#39;d used the original remote(see picture) :<br><br>1. Point your device towards IR eye on the AC unit.<br>2. Within reasonable range.<br><br>* SHOULD WORK &#39;OUT-OF-THE-BOX&#39; (no settings or configurations needed)!<br><br>* If not working - app is not compatible with your AC unit(remote)!<br><br><br>Disclaimer:<br>This app is made by me, and is NOT affiliated with, or endorsed by TADIRAN.</b>","g",N/A,"https://play-lh.googleusercontent.com/fL4RCwMqc4W5FAwIcEqub9eZhlT8LscG82fmB9fn1dsCCjCFUt9HXRB8CnZxtSuaZQ",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.elcoacremotesimple","com.g.elcoacremotesimple","Remote ELCO AC SIMPLE 0setting","ELCO AC Remote<br>match remote model as seen in picture!<br>NO setting needed!<br><br>Use it as you&#39;d used the original remote(see picture) :<br><br>1. Point your device towards IR eye on the AC unit.<br>2. Within reasonable range.<br><br>* SHOULD WORK &#39;OUT-OF-THE-BOX&#39; (no settings or configurations needed)!<br><br>* If not working - app is not compatible with your AC unit(remote)!<br><br>Disclaimer:<br>This app is made by me, and is NOT affiliated with, or endorsed by ELCO.","g",N/A,"https://play-lh.googleusercontent.com/oSGtQoAoADduZLKXSDCmTgh2Oo2K9TFLmPY6JZsGf-pydRxofzoAwyCDn4DyLBk4Lm0",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.libmy","com.g.libmy","My library. make books&stories","Let your Imagination and creativity go. Create Illustrated stories, books, library.<br><br>Father/Mother and child become writers and illustrators of their own library.<br><br>Magic moment saved.","g",N/A,"https://play-lh.googleusercontent.com/1Cl7eE9Ly1TR4vgTScCzRXODvuo8Uw8e3S_olxIkAW59wnH9eOSs00_nVbJqGpnT-1g",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.mandolin","com.g.mandolin","mandolin simpl easy play learn","Mandolin : Simple &amp; Easy to Play. Learn or Compose a music piece.<br>Select a song, Follow the hints.<br><br>* Easier than playing the actual Instrument<br><br>* Play &amp; Learn - by hints<br><br>* Easy compose<br><br>*Training musical hearing<br><br><br>Please help me improve this app, by sharing your thoughts/ideas/impressions/bugs or misunderstandings you have found in this app.<br><br>Thank you","g",N/A,"https://play-lh.googleusercontent.com/WOAKzdR_9B1BKrbAn227kMqCihqkYwMkqxzEmZOZfnmcIiIpUEWXsT3WA_TWVEfwb-g",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.HUZaround","com.g.HUZaround","What's around by labeled sites","Who&#39;s &amp; What&#39;s around, Live augmented labeled sites.<br><br>Selected features identified in Real-Time over landscape seen on your device&#39;s screen.<br><br>Augmented orientation, by live, real-time, sites labeling(identification)<br><br>1. Select the country&#39;s code your in*<br><br>* ATTENTION!!! <br>Initial country code is IN(India) CHANGE it to your current location&#39;s country code ! <br><br>2. Select features of your interest.<br><br>3. Select effective range.<br><br>4. Look AROUND!<br><br>All will be labeled with type, name, and range.","g",N/A,"https://play-lh.googleusercontent.com/SJYwqd00k51DVxGhAOLm7-6-KxMlr6cXGHXlXwOnmBKRIJRKe-CbtY0mFKeaLoyQopM",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.Mag33","com.g.Mag33","Virtual ball bouncing training","Bounce invisible ball while getting rid of annoying insects<br><br>Improve your coordination.<br><br>Use your device as a Paddle Ball/Matka/ping-pong/racket.<br><br>Fun/Annoying gave with a hint of vintage feel.<br><br>q: Why MAG?<br>a: Most Annoying Game.<br><br>q: Why 33?<br>a: Why NOT!","g",N/A,"https://play-lh.googleusercontent.com/7hl8hpToUajjkqjGw-pWUkJI_m6aRj6aN_0N4Zyf1PG9PKuE12kwWZ9m4tayzqL6JfY",0,"0.0",N/A,true
"https://play.google.com/store/apps/details?id=com.g.tadiranacremotesimple","com.g.tadiranacremotesimple","TADIRAN AC Remote  NO settings","TADIRAN AC Remote<br>match remote model as seen in picture!<br>NO setting needed!<br><br>Use it as you&#39;d used the original remote(see picture) :<br><br>1. Point your device towards IR eye on the AC unit.<br>2. Within reasonable range.<br><br><br>* SHOULD WORK &#39;OUT-OF-THE-BOX&#39; (no settings or configurations needed)!<br><br>* If not working - app is not compatible with your AC unit(remote)!<br><br><br>Disclaimer:<br>This app is made by me, and is NOT affiliated with, or endorsed by TADIRAN.","g",N/A,"https://play-lh.googleusercontent.com/5BE3X8J1gMaZ5I_B3EmcYeknGO-JtJgFgJXusbvuaBVQVhKXdClEhVrtiOHs772zYjiR",0,"0.0",N/A,true
